y,x,ref,highway,street_count,geometry
40.7208183,-74.0075453,4,motorway_junction,3,POINT (-74.0075453 40.7208183)
40.7219848,-74.0082309,,traffic_signals,4,POINT (-74.0082309 40.7219848)
40.7916653,-73.9646868,,traffic_signals,4,POINT (-73.9646868 40.7916653)
40.706675,-74.0142358,,,3,POINT (-74.01423579999999 40.706675)
40.8295922,-73.9352284,,,3,POINT (-73.9352284 40.8295922)
40.8305583,-73.9356498,,,3,POINT (-73.93564979999999 40.8305583)
40.8304897,-73.9362839,,,3,POINT (-73.93628390000001 40.8304897)
40.7206456,-74.008466,,traffic_signals,5,POINT (-74.008466 40.7206456)
40.7237578,-74.0079297,,traffic_signals,5,POINT (-74.00792970000001 40.7237578)
40.7244054,-74.0070994,,,3,POINT (-74.0070994 40.7244054)
40.7146116,-73.9768601,,,3,POINT (-73.9768601 40.7146116)
40.7593082,-73.9592519,,traffic_signals,4,POINT (-73.9592519 40.7593082)
40.820283,-73.959539,,,3,POINT (-73.95953900000001 40.820283)
40.8232976,-73.9570228,,,3,POINT (-73.9570228 40.8232976)
40.8197265,-73.9601312,,,3,POINT (-73.96013120000001 40.8197265)
40.8186803,-73.9610583,,traffic_signals,3,POINT (-73.9610583 40.8186803)
40.8180007,-73.9618103,,,3,POINT (-73.9618103 40.8180007)
40.8069238,-73.9355687,,traffic_signals,4,POINT (-73.9355687 40.8069238)
40.806716,-73.934989,,,3,POINT (-73.934989 40.806716)
40.7576654,-73.9948115,,traffic_signals,4,POINT (-73.9948115 40.7576654)
40.784623,-73.9698495,,traffic_signals,3,POINT (-73.9698495 40.784623)
40.7244132,-74.0059302,,traffic_signals,3,POINT (-74.00593019999999 40.7244132)
40.8105617,-73.967223,,motorway_junction,3,POINT (-73.967223 40.8105617)
40.8176607,-73.9610256,,traffic_signals,4,POINT (-73.9610256 40.8176607)
40.715649,-73.977917,,,3,POINT (-73.97791700000001 40.715649)
40.791722,-73.952984,,traffic_signals,3,POINT (-73.952984 40.791722)
40.7856571,-73.98426,,,3,POINT (-73.98426000000001 40.7856571)
40.7923746,-73.9641691,,traffic_signals,4,POINT (-73.96416910000001 40.7923746)
40.8203291,-73.9596517,,,3,POINT (-73.95965169999999 40.8203291)
40.7955122,-73.9760076,,traffic_signals,4,POINT (-73.9760076 40.7955122)
40.8283867,-73.93488,,,3,POINT (-73.93488000000001 40.8283867)
40.8156499,-73.9344467,,,3,POINT (-73.9344467 40.8156499)
40.8150259,-73.9343624,,,3,POINT (-73.9343624 40.8150259)
40.7941945,-73.9628627,,traffic_signals,3,POINT (-73.9628627 40.7941945)
40.7993084,-73.9291241,18,motorway_junction,3,POINT (-73.9291241 40.7993084)
40.803474,-73.9312445,,,3,POINT (-73.93124450000001 40.803474)
40.8310339,-73.9359788,,traffic_signals,3,POINT (-73.9359788 40.8310339)
40.8668641,-73.9309781,,,3,POINT (-73.9309781 40.8668641)
40.785664,-73.9847324,,,3,POINT (-73.9847324 40.785664)
40.714372,-74.00044,,traffic_signals,3,POINT (-74.00044 40.714372)
40.8692662,-73.9318334,,,1,POINT (-73.9318334 40.8692662)
40.7239092,-74.0075216,,,3,POINT (-74.0075216 40.7239092)
40.723454,-74.0074947,,,3,POINT (-74.0074947 40.723454)
40.8039448,-73.9323547,,,4,POINT (-73.9323547 40.8039448)
40.7982184,-73.9523894,,traffic_signals,3,POINT (-73.9523894 40.7982184)
40.8341389,-73.9370767,,,4,POINT (-73.93707670000001 40.8341389)
40.7024415,-74.0128371,,traffic_signals,4,POINT (-74.0128371 40.7024415)
40.8023907,-73.9303177,17,motorway_junction,3,POINT (-73.9303177 40.8023907)
40.79239,-73.9368087,,,3,POINT (-73.9368087 40.79239)
40.8349981,-73.9354595,,,3,POINT (-73.93545949999999 40.8349981)
40.7472719,-73.9758369,,traffic_signals,4,POINT (-73.9758369 40.7472719)
40.74693,-73.9692725,,,3,POINT (-73.9692725 40.74693)
40.7373813,-73.9745237,7,motorway_junction,3,POINT (-73.97452370000001 40.7373813)
40.7369806,-73.9748941,,,3,POINT (-73.9748941 40.7369806)
40.8063093,-73.9348385,,,3,POINT (-73.9348385 40.8063093)
40.8179052,-73.9342568,,,3,POINT (-73.9342568 40.8179052)
40.8187778,-73.934348,22,motorway_junction,3,POINT (-73.934348 40.8187778)
40.7904084,-73.9367296,15,motorway_junction,3,POINT (-73.93672960000001 40.7904084)
40.7896936,-73.9373914,,,3,POINT (-73.9373914 40.7896936)
40.847737,-73.9311538,,,3,POINT (-73.9311538 40.847737)
40.7652791,-73.9521298,,,3,POINT (-73.95212979999999 40.7652791)
40.7665113,-73.9510319,,,3,POINT (-73.9510319 40.7665113)
40.8353715,-73.9441039,,traffic_signals,4,POINT (-73.9441039 40.8353715)
40.8363811,-73.9445746,,traffic_signals,4,POINT (-73.9445746 40.8363811)
40.8370771,-73.9442977,,traffic_signals,4,POINT (-73.94429770000001 40.8370771)
40.8377866,-73.9440172,,traffic_signals,4,POINT (-73.9440172 40.8377866)
40.8384634,-73.9437512,,traffic_signals,4,POINT (-73.94375119999999 40.8384634)
40.839174,-73.943465,,traffic_signals,3,POINT (-73.943465 40.839174)
40.840193,-73.943066,,traffic_signals,4,POINT (-73.943066 40.840193)
40.842154,-73.942279,,traffic_signals,3,POINT (-73.942279 40.842154)
40.84281,-73.942013,,traffic_signals,4,POINT (-73.942013 40.84281)
40.843443,-73.9416398,,traffic_signals,4,POINT (-73.9416398 40.843443)
40.844049,-73.941142,,traffic_signals,4,POINT (-73.941142 40.844049)
40.844686,-73.940795,,traffic_signals,4,POINT (-73.94079499999999 40.844686)
40.845369,-73.940518,,traffic_signals,4,POINT (-73.940518 40.845369)
40.846048,-73.940241,,traffic_signals,3,POINT (-73.940241 40.846048)
40.846519,-73.940061,,traffic_signals,3,POINT (-73.940061 40.846519)
40.84721,-73.939779,,traffic_signals,4,POINT (-73.939779 40.84721)
40.847838,-73.939524,,traffic_signals,4,POINT (-73.93952400000001 40.847838)
40.8499781,-73.9386594,,traffic_signals,4,POINT (-73.93865940000001 40.8499781)
40.850909,-73.938284,,traffic_signals,4,POINT (-73.938284 40.850909)
40.852128,-73.937819,,traffic_signals,4,POINT (-73.937819 40.852128)
40.85338,-73.937435,,traffic_signals,3,POINT (-73.93743499999999 40.85338)
40.855125,-73.9369033,,traffic_signals,3,POINT (-73.9369033 40.855125)
40.857109,-73.935602,,traffic_signals,4,POINT (-73.935602 40.857109)
40.7116883,-74.0058474,,stop,3,POINT (-74.00584739999999 40.7116883)
40.710185,-74.0042501,,traffic_signals,3,POINT (-74.00425009999999 40.710185)
40.706993,-74.0064696,,,3,POINT (-74.0064696 40.706993)
40.706375,-74.005691,,,4,POINT (-74.005691 40.706375)
40.7059974,-74.0052131,,,4,POINT (-74.00521310000001 40.7059974)
40.7054111,-74.0044746,,,3,POINT (-74.00447459999999 40.7054111)
40.7136499,-74.0036256,,traffic_signals,4,POINT (-74.00362560000001 40.7136499)
40.7142983,-74.0026161,,traffic_signals,3,POINT (-74.0026161 40.7142983)
40.7151767,-74.0021357,,traffic_signals,4,POINT (-74.0021357 40.7151767)
40.7157471,-74.0016907,,traffic_signals,4,POINT (-74.0016907 40.7157471)
40.71693,-74.000818,,traffic_signals,3,POINT (-74.000818 40.71693)
40.717619,-74.000274,,traffic_signals,4,POINT (-74.000274 40.717619)
40.718016,-73.9999554,,traffic_signals,4,POINT (-73.9999554 40.718016)
40.7186723,-73.9994292,,traffic_signals,3,POINT (-73.99942919999999 40.7186723)
40.718913,-73.999234,,,3,POINT (-73.999234 40.718913)
40.7198029,-73.9985112,,traffic_signals,4,POINT (-73.9985112 40.7198029)
40.720836,-73.997655,,traffic_signals,4,POINT (-73.99765499999999 40.720836)
40.7152176,-73.9842518,,traffic_signals,4,POINT (-73.9842518 40.7152176)
40.7161377,-73.9836386,,,3,POINT (-73.98363860000001 40.7161377)
40.7166776,-73.9833624,,,4,POINT (-73.9833624 40.7166776)
40.717175,-73.9831071,,,4,POINT (-73.9831071 40.717175)
40.7183141,-73.9825206,,traffic_signals,3,POINT (-73.9825206 40.7183141)
40.7194672,-73.981927,,traffic_signals,4,POINT (-73.981927 40.7194672)
40.7206493,-73.9813183,,traffic_signals,4,POINT (-73.9813183 40.7206493)
40.7396792,-73.9909583,,traffic_signals,4,POINT (-73.9909583 40.7396792)
40.7410305,-73.9941671,,traffic_signals,4,POINT (-73.9941671 40.7410305)
40.742228,-73.997007,,traffic_signals,4,POINT (-73.997007 40.742228)
40.7434266,-73.9998517,,traffic_signals,4,POINT (-73.99985169999999 40.7434266)
40.7446399,-74.0027323,,traffic_signals,4,POINT (-74.00273230000001 40.7446399)
40.745816,-74.005535,,traffic_signals,4,POINT (-74.00553499999999 40.745816)
40.746795,-74.0078599,,traffic_signals,3,POINT (-74.0078599 40.746795)
40.708135,-74.0166314,,stop,3,POINT (-74.01663139999999 40.708135)
40.708457,-74.017398,,,4,POINT (-74.017398 40.708457)
40.7435682,-73.9923179,,traffic_signals,4,POINT (-73.9923179 40.7435682)
40.744765,-73.9951595,,traffic_signals,4,POINT (-73.9951595 40.744765)
40.7459612,-73.998,,traffic_signals,4,POINT (-73.998 40.7459612)
40.7471747,-74.0008813,,traffic_signals,4,POINT (-74.0008813 40.7471747)
40.748355,-74.003684,,traffic_signals,4,POINT (-74.00368400000001 40.748355)
40.7502561,-74.0082754,,traffic_signals,4,POINT (-74.0082754 40.7502561)
40.8716544,-73.9112343,,,3,POINT (-73.9112343 40.8716544)
40.8722414,-73.9126036,,traffic_signals,4,POINT (-73.9126036 40.8722414)
40.8123183,-73.9522263,,,3,POINT (-73.95222630000001 40.8123183)
40.81294,-73.95177,,,3,POINT (-73.95177 40.81294)
40.813567,-73.951322,,,3,POINT (-73.951322 40.813567)
40.814187,-73.95086,,,3,POINT (-73.95086000000001 40.814187)
40.8179231,-73.9497399,,,3,POINT (-73.9497399 40.8179231)
40.821494,-73.9485379,,traffic_signals,4,POINT (-73.94853790000001 40.821494)
40.714251,-73.9808938,,traffic_signals,4,POINT (-73.9808938 40.714251)
40.7135531,-73.9808346,,traffic_signals,4,POINT (-73.98083459999999 40.7135531)
