,node,y,x,ref,highway,street_count
11008,42514073,40.6274724,-73.9627743,,traffic_signals,4
11009,42514076,40.625079,-73.962318,,traffic_signals,4
11010,42514078,40.6226945,-73.9618672,,traffic_signals,4
11011,42514080,40.620298,-73.961415,,traffic_signals,4
11012,42514082,40.6189164,-73.9611544,,,4
11013,42514085,40.6179072,-73.9609642,,traffic_signals,4
11014,42514089,40.615518,-73.960511,,traffic_signals,4
11015,42514092,40.612854,-73.960004,,traffic_signals,4
11016,42514099,40.610302,-73.95952,,traffic_signals,4
11017,42514101,40.608383,-73.959157,,traffic_signals,4
11018,42514105,40.605698,-73.95865,,traffic_signals,4
11019,42514108,40.603373,-73.95821,,traffic_signals,4
11020,42514112,40.600986,-73.957757,,traffic_signals,4
11021,42514116,40.598731,-73.957332,,traffic_signals,4
11022,42514120,40.596612,-73.956928,,traffic_signals,4
11023,42514125,40.594648,-73.956556,,traffic_signals,4
11024,42514130,40.592101,-73.956077,,crossing,4
11025,42514135,40.589984,-73.955674,,traffic_signals,4
11026,42514140,40.5878773,-73.955267,,traffic_signals,4
11027,42514144,40.5876898,-73.9552431,,traffic_signals,4
11028,42514162,40.6877553,-74.0013846,,traffic_signals,3
11029,42514168,40.6874724,-74.0005354,,,3
11030,42514188,40.686698,-73.9981901,,traffic_signals,4
11031,42514219,40.6107712,-73.915173,,,3
11032,42514234,40.6757342,-73.984127,,traffic_signals,4
11033,42514244,40.671933,-73.976263,,,3
11034,42514250,40.67156,-73.975494,,,3
11035,42514254,40.671175,-73.974698,,traffic_signals,4
11036,42514261,40.632644,-73.912635,,,3
11037,42514274,40.679753,-74.001516,,,3
11038,42514283,40.6236188,-74.0280172,,traffic_signals,4
11039,42514288,40.618657,-74.019894,,,4
11040,42514290,40.617326,-74.017691,,,4
11041,42514296,40.614669,-74.013289,,,4
11042,42514300,40.613339,-74.011086,,,4
11043,42514303,40.612007,-74.008884,,traffic_signals,4
11044,42514315,40.60521,-73.99763,,traffic_signals,4
11045,42514318,40.603877,-73.995429,,traffic_signals,4
11046,42514329,40.625599,-74.036071,,traffic_signals,4
11047,42514342,40.699374,-73.947105,,,3
11048,42514344,40.698647,-73.9469613,,,4
11049,42514347,40.6964472,-73.9465177,,,3
11050,42514351,40.6957025,-73.9463749,,,4
11051,42514354,40.694962,-73.946223,,,4
11052,42514359,40.692765,-73.945787,,,4
11053,42514361,40.692033,-73.945642,,,4
11054,42514364,40.6913,-73.945496,,,4
11055,42514366,40.690567,-73.945349,,,4
11056,42514369,40.68984,-73.945198,,,3
11057,42514373,40.68837,-73.944911,,,4
11058,42514378,40.686904,-73.944622,,,4
11059,42514385,40.683973,-73.944036,,traffic_signals,4
11060,42514388,40.6832401,-73.943891,,traffic_signals,4
11061,42514395,40.6817731,-73.9436006,,traffic_signals,4
11062,42514404,40.6802855,-73.9433072,,,3
11063,42514419,40.628441,-73.978183,,,3
11064,42514420,40.629979,-73.974997,,stop,4
11065,42514447,40.73036,-73.952507,,,3
11066,42514448,40.730197,-73.954245,,traffic_signals,4
11067,42514451,40.729879,-73.9575939,,traffic_signals;crossing,4
11068,42514492,40.6788279,-73.9347839,,,3
11069,42514494,40.6780519,-73.9348532,,turning_circle,1
11070,42514503,40.5823976,-73.9559661,,,3
11071,42514531,40.643498,-73.910927,,,4
11072,42514549,40.721397,-73.956038,,stop,4
11073,42514554,40.720601,-73.954754,,traffic_signals,4
11074,42514573,40.616207,-73.9526,,,3
11075,42514580,40.684497,-73.880995,,,4
11076,42514587,40.682284,-73.877937,,,4
11077,42514613,40.584159,-73.952678,,,3
11078,42514618,40.5792472,-73.9762542,,,4
11079,42514629,40.610421,-73.982106,,stop,4
11080,42514631,40.607866,-73.981624,,traffic_signals,4
11081,42514633,40.60528,-73.981134,,traffic_signals,4
11082,42514636,40.600942,-73.980311,,traffic_signals,4
11083,42514639,40.598548,-73.979858,,traffic_signals,4
11084,42514641,40.5963093,-73.979432,,traffic_signals,4
11085,42514644,40.594172,-73.979027,,,3
11086,42514646,40.5923256,-73.978522,,,3
11087,42514692,40.6626543,-73.9330418,,,3
11088,42514697,40.664299,-73.929168,,,3
11089,42514702,40.6644911,-73.9287305,,traffic_signals,3
11090,42514710,40.66471,-73.928228,,,4
11091,42514717,40.665075,-73.927394,,traffic_signals,3
11092,42514734,40.666445,-73.924244,,,3
11093,42514755,40.661881,-73.945566,,traffic_signals,4
11094,42514760,40.662575,-73.934467,,traffic_signals,4
11095,42514764,40.662756,-73.931556,,traffic_signals,4
11096,42514772,40.6689754,-73.918473,,,3
11097,42514776,40.6697931,-73.9165974,,traffic_signals,4
11098,42514785,40.672077,-73.911336,,traffic_signals,4
11099,42514789,40.6729149,-73.9093486,,traffic_signals,3
11100,42514792,40.6733253,-73.908413,,traffic_signals,3
11101,42514803,40.6737805,-73.9074347,,,3
11102,42514810,40.6742773,-73.9062837,,,3
11103,42514850,40.7059,-73.963098,,traffic_signals,4
11104,42514854,40.706997,-73.961363,,traffic_signals,4
11105,42514864,40.711904,-73.949014,,,4
11106,42514870,40.712218,-73.945717,,,4
11107,42514879,40.7128761,-73.9401312,,,3
11108,42514897,40.584525,-73.985861,,,3
11109,42514906,40.7127702,-73.9682598,,,1
11110,42514914,40.711678,-73.964958,,,4
11111,42514918,40.711213,-73.963379,,traffic_signals,4
11112,42514949,40.708674,-73.956305,,traffic_signals,4
11113,42514959,40.706653,-73.950406,,traffic_signals,5
11114,42514967,40.6801605,-73.9921585,,,3
11115,42514974,40.682803,-74.000048,,traffic_signals,4
11116,42514981,40.680039,-73.9922376,,,3
11117,42514986,40.6784721,-73.9878232,,,3
11118,42514989,40.6767527,-73.9833952,,traffic_signals,4
11119,42514998,40.6728617,-73.973376,,traffic_signals,4
11120,42515007,40.6689,-73.958609,,traffic_signals,4
11121,42515010,40.66836,-73.955907,,traffic_signals,4
11122,42515011,40.668224,-73.953439,,traffic_signals,4
11123,42515014,40.667772,-73.945129,,traffic_signals,4
11124,42515017,40.667168,-73.934058,,traffic_signals,4
11125,42515018,40.667015,-73.931291,,traffic_signals,4
11126,42515020,40.666866,-73.928525,,,3
11127,42515022,40.6843228,-74.0054797,,,3
11128,42515023,40.6837175,-74.0033255,,,4
11129,42515026,40.7155879,-73.9339812,,,3
11130,42515033,40.665909,-73.918535,,traffic_signals,4
11131,42515036,40.666046,-73.917614,,traffic_signals,4
11132,42515041,40.666331,-73.915703,,traffic_signals,4
11133,42515045,40.666604,-73.913867,,traffic_signals,4
11134,42515050,40.6671637,-73.9100947,,traffic_signals,4
11135,42515055,40.667425,-73.908231,,traffic_signals,3
11136,42515065,40.667983,-73.9044627,,traffic_signals,3
