,filtered_street,WEIGHT
2012,Engert Avenue,2.0
2013,Englewood Avenue,9.0
2014,Enright Road,2.0
2015,Epsom Course,1.0
2016,Erasmus Street,8.0
2017,Erastina Place,1.0
2018,Erdman Place,1.0
2019,Ericson Place,2.0
2020,Ericsson Place,1.0
2021,Ericsson Street,1.0
2022,Erskine Place,1.0
2023,Erskine Street,25.0
2024,Essex Street,80.0
2025,Etna Street,33.0
2026,Euclid Avenue,65.0
2027,Eunice Place,2.0
2028,Eveleth Road,1.0
2029,Evelyn Place,4.0
2030,Everdell Avenue,2.0
2031,Evergreen Avenue,111.0
2032,Everitt Place,1.0
2033,Everitt Street,1.0
2034,Exchange Place,1.0
2035,Exeter Street,6.0
2036,Exterior Street,34.0
2037,Faber Street,1.0
2038,Fahy Avenue,5.0
2039,Faile Street,54.0
2040,Fairbanks Avenue,1.0
2041,Fairbury Avenue,1.0
2042,Fairfield Street,1.0
2043,Fairmount Avenue,4.0
2044,Fairmount Place,5.0
2045,Fairview Avenue,31.0
2046,Fairview Place,2.0
2047,Falcon Avenue,1.0
2048,Fanchon Place,1.0
2049,Fanning Street,1.0
2050,Far Rockaway Boulevard,1.0
2051,Faraday Avenue,1.0
2052,Farmers Boulevard,256.0
2053,Farragut Avenue,2.0
2054,Farragut Place,2.0
2055,Farragut Road,147.0
2056,Farrington Street,22.0
2057,Fayette Street,3.0
2058,Fdr Drive,1313.0
2059,Fdr Drive Ramp,6.0
2060,Featherbed Lane,27.0
2061,Fenimore Street,23.0
2062,Fenton Avenue,11.0
2063,Fern Place,7.0
2064,Ferndale Avenue,7.0
2065,Fernside Place,3.0
2066,Ferris Place,3.0
2067,Ferris Street,4.0
2068,Field Place,4.0
2069,Field Street,1.0
2070,Fieldston Road,4.0
2071,Fieldway Avenue,3.0
2072,Fillat Street,1.0
2073,Fillmore Avenue,30.0
2074,Fillmore Street,8.0
2075,Findlay Avenue,17.0
2076,Fingerboard Road,9.0
2077,Finlay Street,1.0
2078,Fish Avenue,12.0
2079,Fisher Avenue,2.0
2080,Fitchett Street,2.0
2081,Flatbush Avenue,1059.0
2082,Flatbush Avenue Extension,118.0
2083,Flatlands 1 Street,1.0
2084,Flatlands 3 Street,3.0
2085,Flatlands 8 Street,1.0
2086,Flatlands 9 Street,1.0
2087,Flatlands Avenue,341.0
2088,Fleet Street,4.0
2089,Fleet Walk,2.0
2090,Flushing Avenue,361.0
2091,Foam Place,4.0
2092,Foch Boulevard,63.0
2093,Food Center Drive,21.0
2094,Forbell Street,14.0
2095,Ford Street,2.0
2096,Fordham Street,1.0
2097,Forest Avenue,300.0
2098,Forest Hill Road,44.0
2099,Forest Park Drive,6.0
2100,Forest Parkway,11.0
2101,Forley Street,13.0
2102,Forrest Street,1.0
2103,Forsyth Street,16.0
2104,Fort George Avenue,6.0
2105,Fort George Hill,20.0
2106,Fort Greene Place,8.0
2107,Fort Hamilton Parkway,133.0
2108,Fort Independence Street,6.0
2109,Fort Place,7.0
2110,Fort Washington Avenue,53.0
2111,Foster Avenue,195.0
2112,Foster Road,14.0
2113,Fountain Avenue,68.0
2114,Four Corners Road,9.0
2115,Fowler Avenue,9.0
2116,Fox Hill Terrace,1.0
2117,Fox Street,16.0
2118,Frame Place,1.0
2119,Francis Lewis Boulevard,301.0
2120,Frankfort Street,7.0
2121,Franklin Avenue,161.0
2122,Franklin Place,2.0
2123,Franklin Street,55.0
2124,Frankton Street,1.0
2125,Frawley Circle,1.0
2126,Freeman Street,30.0
2127,Freeport Loop,2.0
2128,Fremont Avenue,1.0
2129,Fresh Meadow Lane,10.0
2130,Fresh Pond Road,100.0
2131,Friel Place,1.0
2132,Frisby Avenue,10.0
2133,Frisco Avenue,1.0
2134,Front Street,17.0
2135,Frost Street,8.0
2136,Fteley Avenue,26.0
2137,Fuller Place,1.0
2138,Fuller Street,1.0
2139,Fulton Avenue,43.0
2140,Fulton Street,582.0
2141,Furman Avenue,8.0
2142,Furman Street,24.0
2143,G.C.P. / Jewel (Cdr),1.0
2144,G.C.P. / L.I.E (Cdr),1.0
2145,G.C.P. / Laguardia (Cdr),1.0
2146,Gale Avenue,6.0
2147,Gallatin Place,1.0
2148,Gansevoort Boulevard,4.0
2149,Garden Street,11.0
2150,Gardner Avenue,7.0
2151,Garfield Avenue,2.0
2152,Garfield Place,4.0
2153,Garfield Street,1.0
2154,Garnet Street,8.0
2155,Garretson Avenue,6.0
2156,Garrison Avenue,28.0
2157,Gates Avenue,185.0
2158,Gateway Boulevard,2.0
2159,Gateway Drive,76.0
2160,Gatling Place,10.0
2161,Gauldy Avenue,1.0
2162,Gem Street,1.0
2163,Genesee Avenue,7.0
2164,George Street,12.0
2165,Georgia Avenue,24.0
2166,Georgia Road,3.0
2167,Geranium Avenue,1.0
2168,Gerard Avenue,58.0
2169,Gerritsen Avenue,29.0
2170,Gerry Street,6.0
2171,Gervil Street,1.0
2172,Gettysburg Street,6.0
2173,Giffords Lane,12.0
2174,Giles Place,3.0
2175,Gillespie Avenue,1.0
2176,Gillmore Street,8.0
2177,Gipson Street,15.0
2178,Givan Avenue,26.0
2179,Glassboro Avenue,3.0
2180,Gleane Street,10.0
2181,Gleason Avenue,36.0
2182,Glebe Avenue,5.0
2183,Glen Avenue,1.0
2184,Glen Street,6.0
2185,Glendale Court,1.0
2186,Glenmore Avenue,65.0
2187,Glenwood Road,170.0
2188,Glenwood Street,1.0
2189,Glover Street,1.0
2190,Goble Place,4.0
2191,Godwin Terrace,3.0
2192,Goethals Avenue,12.0
2193,Goethals Road North,6.0
2194,Gold Road,4.0
2195,Gold Street,33.0
2196,Goodwin Place,1.0
2197,Gordon Street,18.0
2198,Gothic Drive,2.0
2199,Goulden Avenue,10.0
2200,Gouverneur Avenue,1.0
2201,Gouverneur Place,2.0
2202,Gouverneur Street,4.0
2203,Gowanus Expressway,5.0
2204,Gowanus Expy (Bqe),275.0
2205,Gowanus Ramp,15.0
2206,Grace Avenue,12.0
2207,Graff Avenue,1.0
2208,Grafton Street,15.0
2209,Graham Avenue,110.0
2210,Gramercy Park North,3.0
2211,Grand Army Plaza,20.0
2212,Grand Avenue,218.0
2213,Grand Central Parkway,133.0
2214,Grand Central Pkwy,1369.0
2215,Grand Concourse,462.0
2216,Grand Street,255.0
2217,Grandview Avenue,31.0
2218,Granger Street,2.0
2219,Granite Street,2.0
2220,Grant Avenue,30.0
2221,Grant Circle,4.0
2222,Grant Highway,30.0
2223,Grant Place,3.0
2224,Grasmere Avenue,1.0
2225,Grassmere Terrace,10.0
2226,Grattan Street,3.0
2227,Graves Street,3.0
2228,Gravesend Neck Road,12.0
2229,Grayson Street,7.0
2230,Great Jones Street,1.0
2231,Great Kills Road,6.0
2232,Greaves Avenue,10.0
2233,Greaves Lane,3.0
2234,Greeley Avenue,11.0
2235,Green Street,3.0
2236,Greencroft Avenue,1.0
2237,Greene Avenue,72.0
2238,Greene Street,3.0
2239,Greenfield Avenue,1.0
2240,Greenpoint Avenue,102.0
2241,Greentree Lane,1.0
2242,Greenway Drive,1.0
2243,Greenway Terrace,3.0
2244,Greenwich Avenue,6.0
2245,Greenwich Street,42.0
2246,Greenwood Avenue,6.0
2247,Grenada Place,4.0
2248,Grenfell Street,6.0
2249,Greystone Avenue,10.0
2250,Grimsby Street,1.0
2251,Grinnell Place,3.0
2252,Griswold Avenue,5.0
2253,Grosvenor Lane,1.0
2254,Grosvenor Road,1.0
2255,Grote Street,4.0
2256,Grove Street,38.0
2257,Guerlain Street,5.0
2258,Guernsey Street,3.0
2259,Guider Avenue,15.0
2260,Gunther Avenue,22.0
2261,Gunther Place,1.0
2262,Gurley Avenue,6.0
2263,Guyon Avenue,6.0
2264,Gwenn Loop,1.0
2265,Haddon Street,1.0
2266,Hagaman Place,1.0
2267,Haight Avenue,8.0
2268,Haight Street,3.0
2269,Hale Avenue,13.0
2270,Hale Street,1.0
2271,Hall Place,2.0
2272,Hall Street,3.0
2273,Halleck Street,14.0
2274,Halpin Avenue,1.0
2275,Halsey Street,126.0
2276,Hamilton Avenue,121.0
2277,Hamilton Place,20.0
2278,Hamilton Terrace,2.0
2279,Hammersley Avenue,20.0
2280,Hampden Place,1.0
2281,Hampton Avenue,5.0
2282,Hampton Place,4.0
2283,Hampton Street,13.0
2284,Hancock Place,5.0
2285,Hancock Street,48.0
2286,Hannah Street,3.0
2287,Hannibal Street,4.0
2288,Hanover Avenue,1.0
2289,Hanover Square,2.0
2290,Hanover Street,6.0
2291,Hanson Place,10.0
2292,Harbor Road,13.0
2293,Harding Avenue,10.0
2294,Harding Park,3.0
2295,Haring Street,5.0
2296,Harkness Avenue,5.0
2297,Harlem River Drive,315.0
2298,Harlem River Drive Ramp,1.0
2299,Harlem River Park,3.0
2300,Harman Street,29.0
2301,Harold Avenue,1.0
2302,Harold Street,1.0
2303,Harper Avenue,5.0
2304,Harper Court,3.0
2305,Harper Street,6.0
2306,Harrington Avenue,1.0
2307,Harrison Avenue,38.0
2308,Harrison Place,7.0
2309,Harrison Street,1.0
2310,Harrod Avenue,12.0
2311,Harrod Place,3.0
2312,Harrow Street,5.0
2313,Hart Boulevard,1.0
2314,Hart Place,1.0
2315,Hart Street,37.0
2316,Hartland Avenue,1.0
2317,Hartman Lane,9.0
2318,Harvest Avenue,2.0
2319,Harway Avenue,6.0
2320,Hassock Street,1.0
2321,Hastings Street,2.0
2322,Hatfield Place,1.0
2323,Haughwout Avenue,3.0
2324,Hausman Street,4.0
2325,Havemeyer Avenue,15.0
2326,Havemeyer Street,18.0
2327,Haven Avenue,8.0
2328,Haviland Avenue,15.0
2329,Hawthorne Avenue,2.0
2330,Hawthorne Street,27.0
2331,Hawtree Creek Road,2.0
2332,Hawtree Street,4.0
2333,Hay Street,3.0
2334,Hazen Street,15.0
2335,Healy Avenue,3.0
2336,Heaney Avenue,1.0
2337,Heath Avenue,16.0
2338,Heathcote Avenue,4.0
2339,Heberton Avenue,2.0
2340,Hegeman Avenue,108.0
2341,Heinz Avenue,1.0
2342,Hemlock Street,18.0
2343,Hempstead Avenue,118.0
2344,Henderson Avenue,27.0
2345,Hendricks Avenue,7.0
2346,Hendrickson Street,10.0
2347,Hendrix Street,37.0
2348,Henley Road,6.0
2349,Hennessey Place,1.0
2350,Henry Hudson Parkway,538.0
2351,Henry Hudson Parkway Ramp,4.0
2352,Henry Place,3.0
2353,Henry Street,52.0
2354,Henshaw Street,1.0
2355,Henwood Place,1.0
2356,Herbert Street,9.0
2357,Hering Avenue,7.0
2358,Herkimer Place,5.0
2359,Herkimer Street,83.0
2360,Hermany Avenue,5.0
2361,Herschell Street,1.0
2362,Herzl Street,11.0
2363,Hester Street,18.0
2364,Hett Avenue,3.0
2365,Heusden Street,3.0
2366,Hewes Street,6.0
2367,Hewitt Place,2.0
2368,Hewlett Street,5.0
2369,Heyson Road,5.0
2370,Heyward Street,6.0
2371,Hiawatha Avenue,1.0
2372,Hickory Avenue,3.0
2373,Hicks Street,66.0
2374,Highland Avenue,22.0
2375,Highland Boulevard,21.0
2376,Highland Place,5.0
2377,Highlawn Avenue,11.0
2378,Hilburn Avenue,2.0
2379,Hill Avenue,4.0
2380,Hill Street,19.0
2381,Hillel Place,1.0
2382,Hillman Avenue,1.0
2383,Hillside Avenue,432.0
2384,Hillside Terrace,5.0
2385,Hillyer Street,9.0
2386,Himrod Street,41.0
2387,Hinsdale Street,38.0
2388,Hitchcock Avenue,1.0
2389,Hobart Avenue,8.0
2390,Hobart Street,1.0
2391,Hoe Avenue,40.0
2392,Hoffman Drive,4.0
2393,Hoffman Street,7.0
2394,Hogan Place,1.0
2395,Holden Boulevard,1.0
2396,Holland Avenue,48.0
2397,Hollers Avenue,8.0
2398,Hollis Avenue,51.0
2399,Hollis Court Boulevard,30.0
2400,Hollis Hills Terrace,1.0
2401,Holly Avenue,6.0
2402,Hollywood Avenue,10.0
2403,Holsman Road,1.0
2404,Home Lawn Street,15.0
2405,Home Street,18.0
2406,Homecrest Avenue,17.0
2407,Homer Avenue,7.0
2408,Hone Avenue,19.0
2409,Honeywell Avenue,6.0
2410,Honeywell Street,4.0
2411,Hook Creek Boulevard,63.0
2412,Hooker Place,3.0
2413,Hooper Street,13.0
2414,Hoover Avenue,21.0
2415,Hope Street,4.0
2416,Horace Harding Expressway,220.0
2417,Horatio Street,2.0
2418,Horizon Lane,1.0
2419,Hornell Loop,2.0
2420,Horton Avenue,2.0
2421,Hosmer Avenue,1.0
2422,Houseman Avenue,2.0
2423,Howard Avenue,135.0
2424,Howard Street,2.0
2425,Howe Avenue,2.0
2426,Hoyt Avenue North,33.0
2427,Hoyt Avenue South,25.0
2428,Hoyt Street,18.0
2429,Hubbard Place,2.0
2430,Hubbard Street,8.0
2431,Hudson Avenue,3.0
2432,Hudson Manor Terrace,2.0
2433,Hudson Parkway,4.0
2434,Hudson Street,47.0
2435,Hudson Walk,1.0
2436,Hughes Avenue,12.0
2437,Huguenot Avenue,36.0
2438,Hull Avenue,28.0
2439,Hull Street,7.0
2440,Humboldt Street,92.0
2441,Humphreys Street,10.0
2442,Hungry Harbor Road,3.0
2443,Hunt Avenue,2.0
2444,Hunter Avenue,19.0
2445,Hunter Street,1.0
2446,Hunterfly Place,5.0
2447,Hunters Point Avenue,37.0
2448,Huntington Avenue,2.0
2449,Huntington Street,12.0
2450,Hunts Point Avenue,94.0
2451,Huron Street,6.0
2452,Hurst Street,1.0
2453,Husson Avenue,1.0
2454,Husson Street,1.0
2455,Hutchinson Avenue,2.0
2456,Hutchinson River Parkway,209.0
2457,Hutchinson River Parkway East,10.0
2458,Hutchinson River Parkway Ramp,4.0
2459,Huxley Avenue,2.0
2460,Huxley Street,10.0
2461,Hylan Boulevard,385.0
2462,Hymen Court,1.0
2463,Ilion Avenue,5.0
2464,Ilyse Court,3.0
2465,Ilyssa Way,2.0
2466,Independence Avenue,12.0
2467,India Street,10.0
2468,Ingraham Street,6.0
2469,Innis Street,10.0
2470,Intervale Avenue,55.0
2471,Inwood Avenue,9.0
2472,Inwood Street,26.0
2473,Ionia Avenue,3.0
2474,Irving Avenue,96.0
2475,Irving Place,7.0
2476,Irwin Avenue,3.0
2477,Isham Street,7.0
2478,Ithaca Street,5.0
2479,Ittner Place,1.0
2480,Jackie Robinson Pkwy,527.0
2481,Jackson Avenue,100.0
2482,Jackson Mill Road,1.0
2483,Jackson Street,13.0
2484,Jacobus Place,2.0
2485,Jacques Avenue,4.0
2486,Jake Court,1.0
2487,Jamaica Avenue,720.0
2488,James Court,1.0
2489,James Street,3.0
2490,Jamie Lane,1.0
2491,Jane Street,5.0
2492,Jardine Place,2.0
2493,Jarvis Avenue,9.0
2494,Jasmine Avenue,1.0
2495,Java Street,8.0
2496,Jay Avenue,2.0
2497,Jay Street,87.0
2498,Jeanette Avenue,2.0
2499,Jefferson Avenue,54.0
2500,Jefferson Boulevard,5.0
2501,Jefferson Place,5.0
2502,Jefferson Street,39.0
2503,Jennifer Lane,1.0
2504,Jennings Street,12.0
2505,Jerome Avenue,531.0
2506,Jerome Street,27.0
2507,Jersey Street,28.0
2508,Jesup Avenue,22.0
2509,Jewel Avenue,50.0
2510,Jewel Street,5.0
2511,Jewett Avenue,18.0
2512,Jodie Court,2.0
2513,John Street,13.0
2514,Johnson Avenue,71.0
2515,Johnson Street,20.0
2516,Joline Avenue,4.0
2517,Joralemon Street,17.0
2518,Jordan Avenue,1.0
2519,Judge Street,5.0
2520,Jules Drive,12.0
2521,Juliana Place,3.0
2522,Jumel Place,2.0
2523,Jumel Terrace,1.0
2524,Junction Boulevard,159.0
2525,Juniper Avenue,4.0
2526,Juniper Boulevard North,15.0
2527,Juniper Boulevard South,14.0
2528,Juniper Valley Road,7.0
2529,Junius Street,44.0
2530,Juno Street,3.0
2531,Justice Avenue,10.0
2532,Kalmia Avenue,1.0
2533,Kalver Place,3.0
2534,Kane Street,1.0
2535,Kappock Street,7.0
2536,Katan Avenue,14.0
2537,Katonah Avenue,20.0
2538,Keap Street,11.0
2539,Kearney Avenue,6.0
2540,Keegans Lane,1.0
2541,Keeseville Avenue,6.0
2542,Kell Avenue,1.0
2543,Kelly Boulevard,5.0
2544,Kelly Street,27.0
2545,Kenilworth Avenue,3.0
2546,Kenilworth Place,4.0
2547,Kenmare Street,29.0
2548,Kennedy Street,14.0
2549,Kensington Avenue,4.0
2550,Kensington Street,1.0
2551,Kent Avenue,113.0
2552,Kent Street,12.0
2553,Kepler Avenue,1.0
2554,Kermit Place,3.0
2555,Kessel Street,1.0
2556,Ketcham Street,1.0
2557,Kew Forest Lane,1.0
2558,Kimball Street,7.0
2559,Kimberly Place,1.0
2560,King Avenue,3.0
2561,King Road,1.0
2562,King Street,5.0
2563,Kinghorn Street,1.0
2564,Kings College Place,1.0
2565,Kings Highway,427.0
2566,Kings Place,1.0
2567,Kingsborough 2 Walk,1.0
2568,Kingsborough 3 Walk,4.0
2569,Kingsborough 4 Walk,1.0
2570,Kingsborough 5 Walk,1.0
2571,Kingsborough 7 Walk,1.0
2572,Kingsbridge Avenue,18.0
2573,Kingsbridge Terrace,25.0
2574,Kingsland Avenue,48.0
2575,Kingsley Avenue,1.0
2576,Kingston Avenue,83.0
2577,Kingston Place,4.0
2578,Kinsella Street,2.0
2579,Kirshon Avenue,1.0
2580,Kissena Boulevard,148.0
2581,Kiswick Street,2.0
2582,Klondike Avenue,8.0
2583,Knapp Street,33.0
2584,Knauth Place,1.0
2585,Knickerbocker Avenue,160.0
2586,Knolls Crescent,3.0
2587,Knox Place,3.0
2588,Koch Boulevard,3.0
2589,Korean War Vets Parkway,45.0
2590,Kosciusko Bridge,2.0
2591,Kosciuszko Street,33.0
2592,Kossuth Avenue,7.0
2593,Kossuth Place,2.0
2594,Kramer Street,2.0
2595,Kreischer Street,1.0
2596,L.I.E / G.C.P (Cdr),1.0
2597,Laburnum Avenue,13.0
2598,Lacombe Avenue,11.0
2599,Laconia Avenue,74.0
2600,Lafayette Avenue,212.0
2601,Lafayette Street,42.0
2602,Lafontaine Avenue,7.0
2603,Laguardia Avenue,5.0
2604,Laguardia Place,11.0
2605,Lahn Street,1.0
2606,Laight Street,6.0
2607,Lake Avenue,5.0
2608,Lake Street,6.0
2609,Lake View Place,5.0
2610,Lakeview Boulevard East,4.0
2611,Lakeview Lane,4.0
2612,Lakewood Avenue,18.0
2613,Lamberts Lane,13.0
2614,Lamoka Avenue,1.0
2615,Lamont Avenue,7.0
2616,Lamport Boulevard,3.0
2617,Lancaster Avenue,1.0
2618,Landing Road,4.0
2619,Lanett Avenue,1.0
2620,Langdale Street,4.0
2621,Langham Street,1.0
2622,Lansing Avenue,3.0
2623,Lasalle Avenue,2.0
2624,Lasalle Street,8.0
2625,Latimer Place,2.0
2626,Laurel Avenue,5.0
2627,Laurel Hill Boulevard,20.0
2628,Laurel Hill Terrace,11.0
2629,Laurelton Parkway,206.0
2630,Laurie Avenue,1.0
2631,Lawrence Avenue,9.0
2632,Lawrence Street,15.0
2633,Lawton Avenue,1.0
2634,Lawton Street,4.0
2635,Lax Avenue,1.0
2636,Layton Avenue,6.0
2637,Layton Street,2.0
2638,Leavitt Street,15.0
2639,Lebanon Street,1.0
2640,Lee Avenue,31.0
2641,Lefferts Avenue,46.0
2642,Lefferts Boulevard,179.0
2643,Lefferts Place,5.0
2644,Leggett Avenue,19.0
2645,Legion Street,9.0
2646,Leigh Avenue,1.0
2647,Leland Avenue,22.0
2648,Lenevar Avenue,5.0
2649,Lenox Avenue,197.0
2650,Lenox Road,118.0
2651,Lenox Terrace Place,1.0
2652,Leonard Avenue,4.0
2653,Leonard Street,33.0
2654,Leroy Street,2.0
2655,Leslie Road,2.0
2656,Leverett Avenue,4.0
2657,Lewis Avenue,85.0
2658,Lewis Place,1.0
2659,Lewiston Street,4.0
2660,Lexington Avenue,369.0
2661,Liberty Avenue,461.0
2662,Liberty Plaza,2.0
2663,Liberty Street,23.0
2664,Library Avenue,3.0
2665,Lie Lower Level (Cdr),3.0
2666,Lie Outer Roadway (Cdr),3.0
2667,Liebig Avenue,2.0
2668,Light Street,7.0
2669,Lily Pond Avenue,17.0
2670,Lincoln Avenue,65.0
2671,Lincoln Place,42.0
2672,Lincoln Road,7.0
2673,Lincoln Street,7.0
2674,Lindbergh Avenue,1.0
2675,Linden Boulevard,1052.0
2676,Linden Place,26.0
2677,Linden Street,45.0
2678,Lindenwood Road,1.0
2679,Linton Place,1.0
2680,Linwood Street,30.0
2681,Lion Street,2.0
2682,Lisk Avenue,3.0
2683,Little Clove Road,5.0
2684,Little Neck Parkway,68.0
2685,Little West 12 Street,2.0
2686,Livermore Avenue,5.0
2687,Liverpool Street,16.0
2688,Livingston Avenue,1.0
2689,Livingston Street,47.0
2690,Livonia Avenue,119.0
2691,Llewellyn Place,2.0
2692,Lloyd Street,1.0
2693,Lockman Avenue,4.0
2694,Lockman Place,1.0
2695,Locust Avenue,4.0
2696,Locust Street,1.0
2697,Lodovick Avenue,3.0
2698,Logan Avenue,13.0
2699,Logan Street,61.0
2700,Lombardy Street,8.0
2701,Long Island Expressway,1553.0
2702,Long Island Expressway (Cdr),3.0
2703,Long Street,12.0
2704,Longfellow Avenue,37.0
2705,Longstreet Avenue,2.0
2706,Longwood Avenue,45.0
2707,Loretta Road,2.0
2708,Lorillard Place,2.0
2709,Lorimer Street,74.0
2710,Loring Avenue,19.0
2711,Loring Place North,10.0
2712,Loring Place South,5.0
2713,Lorraine Street,15.0
2714,Lott Avenue,40.0
2715,Lott Street,2.0
2716,Loubet Street,5.0
2717,Louis Place,3.0
2718,Louisiana Avenue,35.0
2719,Low Terrace,1.0
2720,Lowe Court,1.0
2721,Lowell Street,2.0
2722,Lowerre Place,1.0
2723,Lucas Street,1.0
2724,Lucerne Street,2.0
2725,Ludlam Place,1.0
2726,Ludlow Street,40.0
2727,Ludlum Avenue,1.0
2728,Ludwig Lane,3.0
2729,Luquer Street,2.0
2730,Lurting Avenue,9.0
2731,Luten Avenue,3.0
2732,Lutheran Avenue,1.0
2733,Lydig Avenue,21.0
2734,Lyman Avenue,1.0
2735,Lyman Place,1.0
2736,Lyman Street,3.0
2737,Lynch Street,4.0
2738,Lyon Avenue,4.0
2739,Lyvere Street,5.0
2740,Mac Dougal Street,8.0
2741,Mac Gregor Street,1.0
2742,Macdonough Place,7.0
2743,Macdonough Street,40.0
2744,Macdougal Street,13.0
2745,Mace Avenue,34.0
2746,Macnish Street,1.0
2747,Macombs Dam Bridge,48.0
2748,Macombs Place,23.0
2749,Macombs Road,40.0
2750,Macon Street,16.0
2751,Macy Place,4.0
2752,Madison Avenue,314.0
2753,Madison Avenue Bridge,1.0
2754,Madison Place,2.0
2755,Madison Street,117.0
2756,Magaw Place,3.0
2757,Magenta Street,11.0
2758,Maguire Avenue,6.0
2759,Mahan Avenue,1.0
2760,Maiden Lane,19.0
2761,Main Avenue,7.0
2762,Main Street,249.0
2763,Maitland Avenue,1.0
2764,Major Deegan Expressway,1075.0
2765,Major Deegan Expressway Ramp,4.0
2766,Mallow Street,1.0
2767,Malta Street,6.0
2768,Mangin Avenue,17.0
2769,Manhattan Avenue,167.0
2770,Manhattan Br Lower,1.0
2771,Manhattan Br Upper,5.0
2772,Manhattan Bridge,2.0
2773,Manhattan College Parkway,9.0
2774,Manhattan Court,2.0
2775,Manida Street,12.0
2776,Manilla Street,1.0
2777,Mann Avenue,1.0
2778,Manor Avenue,14.0
2779,Manor Road,67.0
2780,Manse Street,1.0
2781,Mansion Avenue,1.0
2782,Mansion Street,1.0
2783,Manton Street,4.0
2784,Mapes Avenue,10.0
2785,Maple Avenue,13.0
2786,Maple Parkway,1.0
2787,Maple Street,19.0
2788,Maran Place,2.0
2789,Marathon Parkway,17.0
2790,Marble Hill Avenue,7.0
2791,Marconi Place,1.0
2792,Marcus Garvey Boulevard,103.0
2793,Marcy Avenue,107.0
2794,Marcy Place,9.0
2795,Marengo Street,1.0
2796,Marginal St East,3.0
2797,Marine Avenue,2.0
2798,Marine Parkway,2.0
2799,Marine Parkway Bridge,1.0
2800,Marine Way,1.0
2801,Mariners Lane,1.0
2802,Marion Avenue,49.0
2803,Marion Street,9.0
2804,Market Slip,4.0
2805,Market Street,4.0
2806,Markwood Road,1.0
2807,Marlborough Road,13.0
2808,Marmion Avenue,13.0
2809,Marne Place,3.0
2810,Marolla Place,3.0
2811,Mars Place,3.0
2812,Marscher Place,1.0
2813,Marsden Street,5.0
2814,Martense Avenue,14.0
2815,Martense Street,16.0
2816,Martha Avenue,2.0
2817,Martin Avenue,3.0
2818,Martin Court,1.0
2819,Martin Luther King Jr,14.0
2820,Martling Avenue,7.0
2821,Marvin Road,1.0
2822,Mary Street,1.0
2823,Maryland Avenue,1.0
2824,Mason Avenue,13.0
2825,Maspeth Avenue,35.0
2826,Matilda Avenue,3.0
2827,Matthews Avenue,11.0
2828,Matthewson Road,1.0
2829,Maujer Street,21.0
2830,Maurice Avenue,59.0
2831,Mayda Road,12.0
2832,Mayfair Drive South,3.0
2833,Mayfield Road,1.0
2834,Mayflower Avenue,3.0
2835,Mazeau Street,2.0
2836,Mc Clancy Place,2.0
2837,Mc Donald Avenue,165.0
2838,Mc Guinness Blvd South,6.0
2839,Mc Guinness Boulevard,76.0
2840,Mc Keever Place,3.0
2841,Mc Kibbin Street,7.0
2842,Mc Kinley Avenue,9.0
2843,Mcbaine Avenue,1.0
2844,Mcbride Street,5.0
2845,Mcclean Avenue,19.0
2846,Mcclellan Street,8.0
2847,Mcdonald Street,1.0
2848,Mcgraw Avenue,6.0
2849,Mclaughlin Avenue,5.0
2850,Meadow Drive,1.0
2851,Meadow Lane,1.0
2852,Meadow Road,1.0
2853,Meadow Street,11.0
2854,Meeker Avenue,95.0
2855,Meisner Avenue,1.0
2856,Melbourne Avenue,10.0
2857,Melrose Avenue,76.0
2858,Melrose Street,7.0
2859,Melville Street,2.0
2860,Melvin Avenue,4.0
2861,Memphis Avenue,3.0
2862,Menahan Street,22.0
2863,Mentone Avenue,5.0
2864,Mercer Street,14.0
2865,Meredith Avenue,2.0
2866,Merivale Lane,1.0
2867,Merle Place,5.0
2868,Mermaid Avenue,53.0
2869,Merriam Avenue,10.0
2870,Merrick Boulevard,405.0
2871,Merrill Avenue,3.0
2872,Merrill Street,2.0
2873,Merritt Avenue,7.0
2874,Merry Avenue,1.0
2875,Merrymount Street,1.0
2876,Mersereau Avenue,1.0
2877,Meserole Avenue,17.0
2878,Meserole Street,19.0
2879,Metcalf Avenue,31.0
2880,Metropolitan Avenue,505.0
2881,Metropolitan Oval,15.0
2882,Metrotech Center,9.0
2883,Mexico Street,1.0
2884,Meyer Avenue,1.0
2885,Mickle Avenue,9.0
2886,Middagh Street,2.0
2887,Middlemay Circle,1.0
2888,Middleton Street,11.0
2889,Middletown Road,12.0
2890,Midland Avenue,14.0
2891,Midland Parkway,11.0
2892,Midwood Street,17.0
2893,Milburn Street,1.0
2894,Mildred Avenue,1.0
2895,Miles Avenue,14.0
2896,Milford Drive,16.0
2897,Milford Street,11.0
2898,Mill Avenue,20.0
2899,Mill Road,3.0
2900,Mill Street,2.0
2901,Millennium Loop,1.0
2902,Miller Avenue,52.0
2903,Mills Avenue,6.0
2904,Milton Avenue,1.0
2905,Milton Street,2.0
2906,Minna Street,1.0
2907,Minnieford Avenue,4.0
2908,Minton Street,1.0
2909,Mitchell Place,1.0
2910,Mobile Avenue,3.0
2911,Moffat Street,11.0
2912,Mohegan Avenue,2.0
2913,Monitor Street,16.0
2914,Monroe Avenue,22.0
2915,Monroe Place,3.0
2916,Monroe Street,28.0
2917,Montague Street,6.0
2918,Montauk Avenue,17.0
2919,Montauk Street,9.0
2920,Monterey Avenue,3.0
2921,Montgomery Avenue,9.0
2922,Montgomery Street,52.0
