,filtered_street,WEIGHT
389,27th Road,1.0
390,27th Street,37.0
391,270th Street,2.0
392,271st Street,3.0
393,2737thB Kingsbridge Terrace,1.0
394,28th Avenue,40.0
395,28th Road,2.0
396,28th Street,44.0
397,2804thA 3 Avenue,3.0
398,29th Avenue,9.0
399,29th Road,2.0
400,29th Street,59.0
401,3rd Avenue,1164.0
402,3rd Avenue Bridge,3.0
403,3rd Place,10.0
404,3rd Street,11.0
405,30th Avenue,86.0
406,30th Drive,7.0
407,30th Place,14.0
408,30th Road,6.0
409,30th Street,37.0
410,31st Avenue,179.0
411,31st Drive,14.0
412,31st Place,3.0
413,31st Road,6.0
414,31st Street,173.0
415,311thA Leonard Street,1.0
416,32nd Avenue,76.0
417,32nd Place,5.0
418,32nd Street,21.0
419,324thA Utica Avenue,1.0
420,326thA 9 Street,1.0
421,33rd Avenue,20.0
422,33rd Road,4.0
423,33rd Street,89.0
424,339thA Bainbridge Street,1.0
425,34th Avenue,197.0
426,34th Road,3.0
427,34th Street,38.0
428,344thB Maujer Street,1.0
429,34thH Saint Marks Place,1.0
430,35th Avenue,137.0
431,35th Street,61.0
432,3555thA White Plains Road,3.0
433,358thE East 112 Street,1.0
434,35thA Prospect Place,1.0
435,36th Avenue,42.0
436,36th Road,5.0
437,36th Street,46.0
438,37th Avenue,223.0
439,37th Drive,4.0
440,37th Road,2.0
441,37th Street,106.0
442,37th-52A College Point Boulevard,1.0
443,38th Avenue,66.0
444,38th Street,54.0
445,386thB Chauncey Street,1.0
446,39th Avenue,88.0
447,39th Place,1.0
448,39th Road,2.0
449,39th Street,111.0
450,39thA Gramercy Park North,1.0
451,4th Avenue,310.0
452,4th Place,3.0
453,4th Street,15.0
454,40th Avenue,31.0
455,40th Drive,1.0
456,40th Road,16.0
457,40th Street,52.0
458,41st Avenue,84.0
459,41st Road,9.0
460,41st Street,56.0
461,41stA Grand Street,1.0
462,42nd Avenue,35.0
463,42nd Place,2.0
464,42nd Road,5.0
465,42nd Street,70.0
466,42nd-96A Main Street,1.0
467,43rd Avenue,114.0
468,43rd Street,95.0
469,44th Avenue,18.0
470,44th Drive,13.0
471,44th Road,1.0
472,44th Street,74.0
473,45th Avenue,66.0
474,45th Drive,3.0
475,45th Road,8.0
476,45th Street,76.0
477,46th Avenue,36.0
478,46th Road,5.0
479,46th Street,81.0
480,460thN Brielle Avenue,1.0
481,47th Avenue,42.0
482,47th Road,1.0
483,47th Street,78.0
484,48th Avenue,54.0
485,48th Street,100.0
486,49th Avenue,16.0
487,49th Lane,1.0
488,49th Street,81.0
489,5th Avenue,672.0
490,5th Street,18.0
491,50th Avenue,31.0
492,50th Street,55.0
493,504thB East 98 Street,1.0
494,51st Avenue,56.0
495,51st Road,4.0
496,51st Street,82.0
497,5104thA Post Road,1.0
498,52nd Avenue,10.0
499,52nd Court,1.0
500,52nd Drive,2.0
501,52nd Road,2.0
502,52nd Street,42.0
503,53rd Avenue,16.0
504,53rd Drive,1.0
505,53rd Place,1.0
506,53rd Street,34.0
507,530thF Grand Street,1.0
508,535thA 6 Avenue,1.0
509,54th Avenue,20.0
510,54th Road,3.0
511,54th Street,38.0
512,545thA Quincy Street,1.0
513,55th Avenue,38.0
514,55th Drive,5.0
515,55th Road,5.0
516,55th Street,57.0
517,56th Avenue,30.0
518,56th Drive,10.0
519,56th Road,33.0
520,56th Street,44.0
521,57th Avenue,55.0
522,57th Drive,6.0
523,57th Road,10.0
524,57th Street,59.0
525,58th Avenue,21.0
526,58th Drive,1.0
527,58th Lane,3.0
528,58th Place,3.0
529,58th Road,17.0
530,58th Street,116.0
531,585thA Lafayette Avenue,1.0
532,59th Avenue,26.0
533,59th Drive,5.0
534,59th Place,5.0
535,59th Road,3.0
536,59th Street,82.0
537,6th Avenue,116.0
538,6th Street,21.0
539,60th Avenue,16.0
540,60th Drive,5.0
541,60th Lane,7.0
542,60th Place,8.0
543,60th Road,6.0
544,60th Street,150.0
545,61st Avenue,14.0
546,61st Drive,1.0
547,61st Road,4.0
548,61st Street,73.0
549,616thA Macdonough Street,1.0
550,62nd Avenue,8.0
551,62nd Drive,21.0
552,62nd Road,4.0
553,62nd Street,49.0
554,63rd Avenue,22.0
555,63rd Drive,29.0
556,63rd Road,13.0
557,63rd Street,36.0
558,64th Avenue,36.0
559,64th Circle,1.0
560,64th Place,4.0
561,64th Road,15.0
562,64th Street,83.0
563,64th-15A 186 Lane,1.0
564,64th-15E 186 Lane,1.0
565,65th Avenue,17.0
566,65th Place,38.0
567,65th Road,6.0
568,65th Street,259.0
569,66th Avenue,16.0
570,66th Place,2.0
571,66th Road,7.0
572,66th Street,77.0
573,67th Avenue,26.0
574,67th Drive,7.0
575,67th Place,4.0
576,67th Road,16.0
577,67th Street,46.0
578,67th-06K 186 Lane,1.0
579,67th-35B 186 Lane,1.0
580,68th Avenue,26.0
581,68th Drive,8.0
582,68th Place,5.0
583,68th Road,20.0
584,68th Street,65.0
585,69th Avenue,41.0
586,69th Drive,2.0
587,69th Lane,5.0
588,69th Place,11.0
589,69th Road,25.0
590,69th Street,143.0
591,7th Avenue,582.0
592,7th Avenue South,37.0
593,7th Street,16.0
594,70th Avenue,12.0
595,70th Road,16.0
596,70th Street,71.0
597,71st Avenue,61.0
598,71st Place,1.0
599,71st Road,6.0
600,71st Street,67.0
601,711thC Seagirt Avenue,1.0
602,72nd Avenue,24.0
603,72nd Drive,5.0
604,72nd Place,6.0
605,72nd Road,3.0
606,72nd Street,48.0
607,73rd Avenue,75.0
608,73rd Place,15.0
609,73rd Street,72.0
610,736thA East 233 Street,1.0
611,73rdB Visitation Place,1.0
612,74th Avenue,8.0
613,74th Street,73.0
614,75th Avenue,36.0
615,75th Place,1.0
616,75th Road,4.0
617,75th Street,30.0
618,76th Avenue,26.0
619,76th Drive,1.0
620,76th Road,4.0
621,76th Street,85.0
622,77th Avenue,22.0
623,77th Crescent,1.0
624,77th Road,11.0
625,77th Street,77.0
626,77thA Richmond Hill Road,1.0
627,78th Avenue,31.0
628,78th Road,7.0
629,78th Street,118.0
630,79th Avenue,15.0
631,79th Lane,1.0
632,79th Place,3.0
633,79th Street,95.0
634,8th Avenue,695.0
635,8th Street,23.0
636,80th Avenue,9.0
637,80th Road,6.0
638,80th Street,148.0
639,81st Avenue,35.0
640,81st Road,1.0
641,81st Street,102.0
642,82nd Avenue,29.0
643,82nd Drive,1.0
644,82nd Place,1.0
645,82nd Road,5.0
646,82nd Street,117.0
647,83rd Avenue,6.0
648,83rd Place,6.0
649,83rd Street,49.0
650,84th Avenue,11.0
651,84th Drive,16.0
652,84th Place,5.0
653,84th Road,6.0
654,84th Street,102.0
655,845thA East 222 Street,1.0
656,85th Avenue,38.0
657,85th Drive,8.0
658,85th Road,9.0
659,85th Street,105.0
660,86th Avenue,30.0
661,86th Crescent,1.0
662,86th Road,6.0
663,86th Street,295.0
664,860thA Remsen Avenue,1.0
665,860thA Willoughby Avenue,1.0
666,87th Avenue,22.0
667,87th Drive,3.0
668,87th Road,16.0
669,87th Street,29.0
670,88th Avenue,30.0
671,88th Lane,1.0
672,88th Road,4.0
673,88th Street,87.0
674,89th Avenue,83.0
675,89th Road,1.0
676,89th Street,51.0
