filtered_street,WEIGHT
Arion Place,9.0
Arlene Street,14.0
Arlington Avenue,42.0
Arlington Place,5.0
Arlington Terrace,3.0
Armstrong Avenue,21.0
Arnold Avenue,1.0
Arnow Avenue,25.0
Arnow Place,1.0
Arthur Avenue,38.0
Arthur Kill Road,157.0
Arverne Boulevard,6.0
Ascan Avenue,7.0
Asch Loop,7.0
Ash Avenue,2.0
Ash Street,1.0
Ashford Street,44.0
Ashland Avenue,1.0
Ashland Place,36.0
Aske Street,4.0
Aspinwall Street,1.0
Aster Court,1.0
Astor Avenue,24.0
Astoria Boulevard,254.0
Astoria Park South,9.0
Atkins Avenue,35.0
Atlantic Avenue,1439.0
Attorney Street,1.0
Aubrey Avenue,3.0
Auburn Place,2.0
Auburndale Lane,2.0
Audley Street,1.0
Audubon Avenue,86.0
Augustina Avenue,3.0
Aultman Avenue,1.0
Aurelia Court,4.0
Austin Place,6.0
Austin Street,74.0
Autumn Avenue,34.0
Avenue,33.0
Avenue A,49.0
Avenue B,68.0
Avenue C,56.0
Avenue D,148.0
Avenue F,10.0
Avenue H,83.0
Avenue I,109.0
Avenue J,199.0
Avenue K,115.0
Avenue L,152.0
Avenue M,126.0
Avenue N,113.0
Avenue O,70.0
Avenue Of The Americas,379.0
Avenue P,124.0
Avenue R,66.0
Avenue S,72.0
Avenue T,86.0
Avenue U,211.0
Avenue V,67.0
Avenue W,59.0
Avenue X,66.0
Avenue Y,73.0
Avenue Z,73.0
Avery Avenue,16.0
Aviation Road,3.0
Avon Street,5.0
Azalea Court,3.0
Babbage Street,1.0
Babylon Avenue,1.0
Bache Avenue,1.0
Baden Place,1.0
Bailey Avenue,77.0
Bainbridge Avenue,84.0
Bainbridge Street,29.0
Baisley Avenue,5.0
Baisley Boulevard,117.0
Baker Avenue,1.0
Balcom Avenue,14.0
Balfour Place,1.0
Baltic Street,13.0
Bancroft Avenue,15.0
Bancroft Place,3.0
Bank Street,3.0
Banker Street,3.0
Banner Avenue,3.0
Barbey Street,16.0
Barclay Avenue,25.0
Barclay Circle,3.0
Barclay Street,9.0
Bard Avenue,15.0
Barker Avenue,11.0
Barker Street,1.0
Barkley Avenue,7.0
Barnard Avenue,1.0
Barnes Avenue,87.0
