filtered_street,WEIGHT
Hull Avenue,28.0
Hull Street,7.0
Humboldt Street,92.0
Humphreys Street,10.0
Hungry Harbor Road,3.0
Hunt Avenue,2.0
Hunter Avenue,19.0
Hunter Street,1.0
Hunterfly Place,5.0
Hunters Point Avenue,37.0
Huntington Avenue,2.0
Huntington Street,12.0
Hunts Point Avenue,94.0
Huron Street,6.0
Hurst Street,1.0
Husson Avenue,1.0
Husson Street,1.0
Hutchinson Avenue,2.0
Hutchinson River Parkway,209.0
Hutchinson River Parkway East,10.0
Hutchinson River Parkway Ramp,4.0
Huxley Avenue,2.0
Huxley Street,10.0
Hylan Boulevard,385.0
Hymen Court,1.0
Ilion Avenue,5.0
Ilyse Court,3.0
Ilyssa Way,2.0
Independence Avenue,12.0
India Street,10.0
Ingraham Street,6.0
Innis Street,10.0
Intervale Avenue,55.0
Inwood Avenue,9.0
Inwood Street,26.0
Ionia Avenue,3.0
Irving Avenue,96.0
Irving Place,7.0
Irwin Avenue,3.0
Isham Street,7.0
Ithaca Street,5.0
Ittner Place,1.0
Jackie Robinson Pkwy,527.0
Jackson Avenue,100.0
Jackson Mill Road,1.0
Jackson Street,13.0
Jacobus Place,2.0
Jacques Avenue,4.0
Jake Court,1.0
Jamaica Avenue,720.0
James Court,1.0
James Street,3.0
Jamie Lane,1.0
Jane Street,5.0
Jardine Place,2.0
Jarvis Avenue,9.0
Jasmine Avenue,1.0
Java Street,8.0
Jay Avenue,2.0
Jay Street,87.0
Jeanette Avenue,2.0
Jefferson Avenue,54.0
Jefferson Boulevard,5.0
Jefferson Place,5.0
Jefferson Street,39.0
Jennifer Lane,1.0
Jennings Street,12.0
Jerome Avenue,531.0
Jerome Street,27.0
Jersey Street,28.0
Jesup Avenue,22.0
Jewel Avenue,50.0
Jewel Street,5.0
Jewett Avenue,18.0
Jodie Court,2.0
John Street,13.0
Johnson Avenue,71.0
Johnson Street,20.0
Joline Avenue,4.0
Joralemon Street,17.0
Jordan Avenue,1.0
Judge Street,5.0
Jules Drive,12.0
Juliana Place,3.0
Jumel Place,2.0
Jumel Terrace,1.0
Junction Boulevard,159.0
Juniper Avenue,4.0
Juniper Boulevard North,15.0
Juniper Boulevard South,14.0
Juniper Valley Road,7.0
Junius Street,44.0
Juno Street,3.0
Justice Avenue,10.0
Kalmia Avenue,1.0
Kalver Place,3.0
Kane Street,1.0
Kappock Street,7.0
Katan Avenue,14.0
Katonah Avenue,20.0
Keap Street,11.0
Kearney Avenue,6.0
Keegans Lane,1.0
Keeseville Avenue,6.0
Kell Avenue,1.0
Kelly Boulevard,5.0
Kelly Street,27.0
Kenilworth Avenue,3.0
Kenilworth Place,4.0
Kenmare Street,29.0
Kennedy Street,14.0
Kensington Avenue,4.0
Kensington Street,1.0
Kent Avenue,113.0
Kent Street,12.0
Kepler Avenue,1.0
Kermit Place,3.0
Kessel Street,1.0
Ketcham Street,1.0
Kew Forest Lane,1.0
Kimball Street,7.0
Kimberly Place,1.0
King Avenue,3.0
King Road,1.0
King Street,5.0
Kinghorn Street,1.0
Kings College Place,1.0
Kings Highway,427.0
Kings Place,1.0
Kingsborough 2 Walk,1.0
Kingsborough 3 Walk,4.0
Kingsborough 4 Walk,1.0
Kingsborough 5 Walk,1.0
Kingsborough 7 Walk,1.0
Kingsbridge Avenue,18.0
Kingsbridge Terrace,25.0
Kingsland Avenue,48.0
Kingsley Avenue,1.0
Kingston Avenue,83.0
Kingston Place,4.0
Kinsella Street,2.0
Kirshon Avenue,1.0
Kissena Boulevard,148.0
Kiswick Street,2.0
Klondike Avenue,8.0
Knapp Street,33.0
Knauth Place,1.0
Knickerbocker Avenue,160.0
Knolls Crescent,3.0
Knox Place,3.0
Koch Boulevard,3.0
Korean War Vets Parkway,45.0
Kosciusko Bridge,2.0
Kosciuszko Street,33.0
Kossuth Avenue,7.0
Kossuth Place,2.0
Kramer Street,2.0
Kreischer Street,1.0
L.I.E / G.C.P (Cdr),1.0
Laburnum Avenue,13.0
Lacombe Avenue,11.0
Laconia Avenue,74.0
Lafayette Avenue,212.0
Lafayette Street,42.0
Lafontaine Avenue,7.0
Laguardia Avenue,5.0
Laguardia Place,11.0
Lahn Street,1.0
Laight Street,6.0
Lake Avenue,5.0
Lake Street,6.0
Lake View Place,5.0
Lakeview Boulevard East,4.0
Lakeview Lane,4.0
Lakewood Avenue,18.0
Lamberts Lane,13.0
Lamoka Avenue,1.0
Lamont Avenue,7.0
Lamport Boulevard,3.0
Lancaster Avenue,1.0
Landing Road,4.0
Lanett Avenue,1.0
Langdale Street,4.0
Langham Street,1.0
Lansing Avenue,3.0
Lasalle Avenue,2.0
Lasalle Street,8.0
Latimer Place,2.0
Laurel Avenue,5.0
Laurel Hill Boulevard,20.0
Laurel Hill Terrace,11.0
Laurelton Parkway,206.0
Laurie Avenue,1.0
Lawrence Avenue,9.0
Lawrence Street,15.0
Lawton Avenue,1.0
Lawton Street,4.0
Lax Avenue,1.0
Layton Avenue,6.0
Layton Street,2.0
Leavitt Street,15.0
Lebanon Street,1.0
Lee Avenue,31.0
Lefferts Avenue,46.0
Lefferts Boulevard,179.0
Lefferts Place,5.0
Leggett Avenue,19.0
Legion Street,9.0
Leigh Avenue,1.0
Leland Avenue,22.0
Lenevar Avenue,5.0
Lenox Avenue,197.0
Lenox Road,118.0
Lenox Terrace Place,1.0
Leonard Avenue,4.0
Leonard Street,33.0
Leroy Street,2.0
Leslie Road,2.0
Leverett Avenue,4.0
Lewis Avenue,85.0
Lewis Place,1.0
Lewiston Street,4.0
Lexington Avenue,369.0
Liberty Avenue,461.0
Liberty Plaza,2.0
Liberty Street,23.0
Library Avenue,3.0
Lie Lower Level (Cdr),3.0
Lie Outer Roadway (Cdr),3.0
Liebig Avenue,2.0
Light Street,7.0
Lily Pond Avenue,17.0
Lincoln Avenue,65.0
Lincoln Place,42.0
Lincoln Road,7.0
Lincoln Street,7.0
Lindbergh Avenue,1.0
Linden Boulevard,1052.0
Linden Place,26.0
Linden Street,45.0
Lindenwood Road,1.0
Linton Place,1.0
Linwood Street,30.0
Lion Street,2.0
Lisk Avenue,3.0
Little Clove Road,5.0
Little Neck Parkway,68.0
Little West 12 Street,2.0
Livermore Avenue,5.0
Liverpool Street,16.0
Livingston Avenue,1.0
Livingston Street,47.0
Livonia Avenue,119.0
Llewellyn Place,2.0
Lloyd Street,1.0
Lockman Avenue,4.0
Lockman Place,1.0
Locust Avenue,4.0
Locust Street,1.0
Lodovick Avenue,3.0
Logan Avenue,13.0
Logan Street,61.0
Lombardy Street,8.0
Long Island Expressway,1553.0
Long Island Expressway (Cdr),3.0
Long Street,12.0
Longfellow Avenue,37.0
Longstreet Avenue,2.0
Longwood Avenue,45.0
Loretta Road,2.0
Lorillard Place,2.0
Lorimer Street,74.0
Loring Avenue,19.0
Loring Place North,10.0
Loring Place South,5.0
Lorraine Street,15.0
Lott Avenue,40.0
Lott Street,2.0
Loubet Street,5.0
Louis Place,3.0
Louisiana Avenue,35.0
Low Terrace,1.0
Lowe Court,1.0
Lowell Street,2.0
Lowerre Place,1.0
Lucas Street,1.0
Lucerne Street,2.0
Ludlam Place,1.0
Ludlow Street,40.0
Ludlum Avenue,1.0
Ludwig Lane,3.0
Luquer Street,2.0
Lurting Avenue,9.0
Luten Avenue,3.0
Lutheran Avenue,1.0
Lydig Avenue,21.0
Lyman Avenue,1.0
Lyman Place,1.0
Lyman Street,3.0
Lynch Street,4.0
Lyon Avenue,4.0
Lyvere Street,5.0
Mac Dougal Street,8.0
Mac Gregor Street,1.0
Macdonough Place,7.0
Macdonough Street,40.0
Macdougal Street,13.0
Mace Avenue,34.0
Macnish Street,1.0
Macombs Dam Bridge,48.0
Macombs Place,23.0
Macombs Road,40.0
Macon Street,16.0
Macy Place,4.0
Madison Avenue,314.0
Madison Avenue Bridge,1.0
Madison Place,2.0
Madison Street,117.0
Magaw Place,3.0
Magenta Street,11.0
Maguire Avenue,6.0
Mahan Avenue,1.0
Maiden Lane,19.0
Main Avenue,7.0
Main Street,249.0
Maitland Avenue,1.0
Major Deegan Expressway,1075.0
Major Deegan Expressway Ramp,4.0
Mallow Street,1.0
Malta Street,6.0
Mangin Avenue,17.0
Manhattan Avenue,167.0
Manhattan Br Lower,1.0
Manhattan Br Upper,5.0
Manhattan Bridge,2.0
Manhattan College Parkway,9.0
Manhattan Court,2.0
Manida Street,12.0
Manilla Street,1.0
Mann Avenue,1.0
Manor Avenue,14.0
Manor Road,67.0
Manse Street,1.0
Mansion Avenue,1.0
Mansion Street,1.0
Manton Street,4.0
Mapes Avenue,10.0
Maple Avenue,13.0
Maple Parkway,1.0
Maple Street,19.0
Maran Place,2.0
Marathon Parkway,17.0
Marble Hill Avenue,7.0
Marconi Place,1.0
Marcus Garvey Boulevard,103.0
Marcy Avenue,107.0
Marcy Place,9.0
Marengo Street,1.0
Marginal St East,3.0
Marine Avenue,2.0
Marine Parkway,2.0
Marine Parkway Bridge,1.0
Marine Way,1.0
Mariners Lane,1.0
Marion Avenue,49.0
Marion Street,9.0
Market Slip,4.0
Market Street,4.0
Markwood Road,1.0
Marlborough Road,13.0
Marmion Avenue,13.0
Marne Place,3.0
Marolla Place,3.0
Mars Place,3.0
Marscher Place,1.0
Marsden Street,5.0
Martense Avenue,14.0
Martense Street,16.0
Martha Avenue,2.0
Martin Avenue,3.0
Martin Court,1.0
Martin Luther King Jr,14.0
Martling Avenue,7.0
Marvin Road,1.0
Mary Street,1.0
Maryland Avenue,1.0
Mason Avenue,13.0
Maspeth Avenue,35.0
Matilda Avenue,3.0
Matthews Avenue,11.0
Matthewson Road,1.0
Maujer Street,21.0
Maurice Avenue,59.0
Mayda Road,12.0
Mayfair Drive South,3.0
Mayfield Road,1.0
Mayflower Avenue,3.0
Mazeau Street,2.0
Mc Clancy Place,2.0
Mc Donald Avenue,165.0
Mc Guinness Blvd South,6.0
Mc Guinness Boulevard,76.0
Mc Keever Place,3.0
Mc Kibbin Street,7.0
Mc Kinley Avenue,9.0
Mcbaine Avenue,1.0
Mcbride Street,5.0
Mcclean Avenue,19.0
Mcclellan Street,8.0
Mcdonald Street,1.0
Mcgraw Avenue,6.0
Mclaughlin Avenue,5.0
Meadow Drive,1.0
Meadow Lane,1.0
Meadow Road,1.0
Meadow Street,11.0
Meeker Avenue,95.0
Meisner Avenue,1.0
Melbourne Avenue,10.0
Melrose Avenue,76.0
Melrose Street,7.0
Melville Street,2.0
Melvin Avenue,4.0
Memphis Avenue,3.0
Menahan Street,22.0
Mentone Avenue,5.0
Mercer Street,14.0
Meredith Avenue,2.0
Merivale Lane,1.0
Merle Place,5.0
Mermaid Avenue,53.0
Merriam Avenue,10.0
Merrick Boulevard,405.0
Merrill Avenue,3.0
Merrill Street,2.0
Merritt Avenue,7.0
Merry Avenue,1.0
Merrymount Street,1.0
Mersereau Avenue,1.0
Meserole Avenue,17.0
Meserole Street,19.0
Metcalf Avenue,31.0
Metropolitan Avenue,505.0
Metropolitan Oval,15.0
Metrotech Center,9.0
Mexico Street,1.0
Meyer Avenue,1.0
Mickle Avenue,9.0
Middagh Street,2.0
Middlemay Circle,1.0
Middleton Street,11.0
Middletown Road,12.0
Midland Avenue,14.0
Midland Parkway,11.0
Midwood Street,17.0
Milburn Street,1.0
Mildred Avenue,1.0
Miles Avenue,14.0
Milford Drive,16.0
Milford Street,11.0
Mill Avenue,20.0
Mill Road,3.0
Mill Street,2.0
Millennium Loop,1.0
Miller Avenue,52.0
Mills Avenue,6.0
Milton Avenue,1.0
Milton Street,2.0
Minna Street,1.0
Minnieford Avenue,4.0
Minton Street,1.0
Mitchell Place,1.0
Mobile Avenue,3.0
Moffat Street,11.0
Mohegan Avenue,2.0
Monitor Street,16.0
Monroe Avenue,22.0
Monroe Place,3.0
Monroe Street,28.0
Montague Street,6.0
Montauk Avenue,17.0
Montauk Street,9.0
Monterey Avenue,3.0
Montgomery Avenue,9.0
Montgomery Street,52.0
Monticello Avenue,4.0
Montreal Avenue,3.0
Montrose Avenue,19.0
Montvale Place,1.0
Monument Walk,5.0
Moore Place,1.0
Moore Street,27.0
Morgan Avenue,75.0
Morgan Place,1.0
Morningside Avenue,19.0
Morningside Drive,8.0
Morningstar Road,25.0
Morris Avenue,208.0
Morris Park Avenue,134.0
Morris Street,3.0
Morrison Avenue,39.0
Morton Place,3.0
Morton Street,4.0
Mosel Avenue,7.0
Mosholu Avenue,9.0
Mosholu Parkway,42.0
Mosholu Parkway Extension,1.0
Mott Avenue,56.0
Mott Street,30.0
Mount Eden Parkway,17.0
Mount Hope Place,13.0
Mount Morris Park West,3.0
Mount Olivet Crescent,3.0
Mountainview Avenue,1.0
Mulberry Street,22.0
Muliner Avenue,3.0
Mundy Lane,1.0
Murdock Avenue,74.0
Murray Street,26.0
Musket Street,2.0
Myrtle Avenue,585.0
Nagle Avenue,53.0
Nameoke Avenue,6.0
Nameoke Street,7.0
Nancy Lane,1.0
Naples Terrace,1.0
Narrows Avenue,5.0
Narrows Road North,42.0
Narrows Road South,2.0
Nashville Boulevard,14.0
Nashville Street,1.0
Nassau Avenue,27.0
Nassau Boulevard,5.0
Nassau Expressway,23.0
Nassau Place,1.0
Nassau Street,19.0
Natick Street,3.0
National Street,25.0
Naughton Avenue,2.0
Nautilus Avenue,1.0
Navesink Place,1.0
Navy Street,21.0
Navy Walk,2.0
Neal Dow Avenue,2.0
Needham Avenue,16.0
Nehring Avenue,1.0
Neill Avenue,12.0
Neilson Street,9.0
Nellis Street,1.0
Nelson Avenue,38.0
Nelson Street,7.0
Neptune Avenue,189.0
Neptune Lane,3.0
Neptune Place,3.0
Nereid Avenue,43.0
Netherland Avenue,9.0
Nevins Street,34.0
New Dorp Lane,26.0
New Dorp Plaza,3.0
New England Thruway,22.0
New Haven Avenue,30.0
New Jersey Avenue,28.0
New Lots Avenue,129.0
New Street,4.0
New Utrecht Avenue,114.0
New York Avenue,171.0
Newark Avenue,3.0
Newbold Avenue,14.0
Newburg Street,9.0
Newel Street,15.0
Newell Street,1.0
Newhall Avenue,2.0
Newkirk Avenue,57.0
Newman Avenue,4.0
Newport Avenue,11.0
Newport Street,42.0
Newton Street,2.0
Newtown Avenue,7.0
Newtown Road,14.0
Nichols Avenue,7.0
Nicolls Avenue,2.0
Nippon Avenue,3.0
Noble Avenue,18.0
Noble Street,2.0
Noel Avenue,1.0
Noel Road,1.0
Noll Street,5.0
Nome Avenue,14.0
Norfolk Street,14.0
Norman Avenue,23.0
Norman Street,5.0
North 1 Street,2.0
North 10 Street,9.0
North 11 Street,9.0
North 12 Street,7.0
North 13 Street,1.0
North 14 Street,3.0
North 3 Street,9.0
North 4 Street,16.0
North 5 Street,8.0
North 6 Street,11.0
North 7 Street,18.0
North 8 Street,9.0
North 9 Street,5.0
North Avenue,1.0
North Bridge Street,4.0
North Burgher Avenue,2.0
North Conduit Avenue,429.0
North Drive,1.0
North Elliott Place,1.0
North End Avenue,6.0
North Gannon Avenue,27.0
North Henry Street,4.0
North Market Street,1.0
North Moore Street,8.0
North Oak Drive,1.0
North Oxford Street,3.0
North Oxford Walk,1.0
North Portland Avenue,20.0
North Railroad Avenue,7.0
North Saint Austins Place,1.0
North Street,3.0
Northern Boulevard,878.0
Northfield Avenue,1.0
Norton Avenue,1.0
Norton Drive,6.0
Norwalk Avenue,3.0
Norway Avenue,3.0
Norwood Avenue,9.0
Nostrand Avenue,637.0
Nunley Court,1.0
Nurge Avenue,5.0
Oak Avenue,5.0
Oak Park Drive,1.0
Oak Point Avenue,32.0
Oak Street,2.0
Oak Terrace,1.0
Oakdale Street,7.0
Oakland Avenue,5.0
Oakland Place,2.0
Oakley Street,3.0
Obrien Avenue,1.0
Occident Avenue,6.0
Ocean Avenue,426.0
Ocean Parkway,293.0
Ocean Terrace,7.0
Oceania Street,5.0
Oceanic Avenue,1.0
Oceanview Avenue,17.0
Oconnell Court,1.0
Odell Street,4.0
Ogden Avenue,63.0
Ogorman Avenue,1.0
Old Amboy Road,2.0
Old Broadway,1.0
Old Kingsbridge Road,1.0
Old Mill Road,3.0
Old New Utrecht Road,1.0
Old Slip,3.0
Old Town Road,4.0
Olinville Avenue,25.0
Olive Street,5.0
Oliver Place,4.0
Oliver Street,2.0
Olmstead Avenue,24.0
Olympia Boulevard,1.0
Onderdonk Avenue,27.0
Oneida Avenue,4.0
Orange Avenue,1.0
Orange Street,1.0
Orchard Beach Road,24.0
Orchard Street,12.0
Oriental Boulevard,3.0
Orinoco Place,1.0
Orloff Avenue,5.0
Osborn Street,5.0
Osborne Place,1.0
Osgood Avenue,5.0
Osgood Street,1.0
Oswego Street,1.0
Otis Avenue,15.0
Otto Road,11.0
Outlook Avenue,3.0
Overbaugh Place,3.0
Overing Street,10.0
Overlook Terrace,10.0
Ovington Avenue,21.0
Oxford Avenue,3.0
Pacific Street,110.0
Paerdegat 12 Street,1.0
Paerdegat 2 Street,1.0
Paerdegat 3 Street,3.0
Paerdegat 7 Street,4.0
Paerdegat Avenue North,2.0
Page Avenue,30.0
Page Place,3.0
Paidge Avenue,1.0
Paladino Avenue,3.0
Palisade Avenue,5.0
Palisade Place,2.0
Palma Drive,3.0
Palmer Avenue,5.0
Palmetto Street,33.0
Parade Place,8.0
Park Avenue,561.0
Park Avenue South,63.0
Park Circle,20.0
Park Drive,8.0
Park Drive East,25.0
Park Hill Avenue,20.0
Park Hill Circle,1.0
Park Hill Lane,3.0
Park Lane,2.0
Park Lane South,57.0
Park Place,90.0
Park Row,16.0
Park Terrace West,1.0
Parkchester Road,4.0
Parker Street,4.0
Parkinson Avenue,2.0
Parkside Avenue,81.0
Parkside Place,8.0
Parkview Avenue,1.0
Parkview Terrace,1.0
Parkville Avenue,5.0
Parrott Place,1.0
Parsons Boulevard,204.0
Patchen Avenue,53.0
Patterson Avenue,1.0
Paul Avenue,10.0
Paulding Avenue,55.0
Payson Avenue,6.0
Pearl Street,64.0
Pearsall Avenue,9.0
Pearson Place,1.0
Pearson Street,7.0
Peartree Avenue,1.0
Peck Avenue,4.0
Peck Slip,4.0
Peconic Street,3.0
Pelham Parkway,15.0
Pelham Parkway North,20.0
Pelham Parkway South,36.0
Pell Place,1.0
Pelton Avenue,4.0
Pendleton Place,2.0
Penelope Avenue,14.0
Penfield Street,1.0
Penn Street,5.0
Pennsylvania Avenue,515.0
Pennsylvania Plaza,13.0
Pennyfield Avenue,1.0
Perkiomen Avenue,3.0
Perot Street,3.0
Perry Avenue,30.0
Perry Street,1.0
Pershing Crescent,3.0
Peters Place,1.0
Pettit Avenue,2.0
Philip Avenue,14.0
Piave Avenue,1.0
Pidgeon Meadow Road,8.0
Piedmont Avenue,1.0
Pierce Avenue,8.0
Pierce Street,3.0
Pierrepont Street,5.0
Pike Slip,1.0
Pike Street,9.0
Pilling Street,6.0
Pilot Street,3.0
Pine Street,24.0
Pinegrove Street,7.0
Pinehurst Avenue,6.0
Pineville Lane,3.0
Pinson Street,7.0
Pitkin Avenue,324.0
Pitman Avenue,19.0
Pitt Street,22.0
Plainview Avenue,3.0
Platinum Avenue,4.0
Platt Street,3.0
Plattsburg Street,3.0
Plattwood Avenue,1.0
Plaza Street East,9.0
Pleasant Avenue,5.0
Pleasant Place,1.0
Pleasantview Street,5.0
Plimpton Avenue,14.0
Plumb 1 Street,4.0
Plumb 2 Street,2.0
Plymouth Avenue,1.0
Polhemas Avenue,6.0
Polhemus Place,1.0
Police Plaza,2.0
Poly Place,4.0
Pompey Avenue,1.0
Pond Place,3.0
Pontiac Place,1.0
Ponton Avenue,4.0
Popham Avenue,3.0
Poplar Avenue,1.0
Poplar Street,2.0
Pople Avenue,1.0
Poppenhusen Avenue,1.0
Port Richmond Avenue,31.0
Portage Avenue,3.0
Portal Street,2.0
Porter Avenue,13.0
Post Avenue,32.0
Post Road,7.0
Powell Avenue,6.0
Powell Street,17.0
Powells Cove Boulevard,4.0
Powers Avenue,3.0
Powers Street,3.0
Poyer Street,3.0
Pratt Avenue,8.0
Prentiss Avenue,4.0
Prescott Avenue,6.0
President Street,47.0
Preston Court,8.0
Prince Street,57.0
Princeton Street,15.0
Prospect Avenue,138.0
Prospect Court,1.0
Prospect Expressway,4.0
Prospect Expressway East,66.0
Prospect Park Southwest,18.0
Prospect Park West,26.0
Prospect Place,56.0
Prospect Street,24.0
Provost Avenue,10.0
Provost Street,9.0
Pugsley Avenue,26.0
Pulaski Avenue,4.0
Pulaski Bridge,13.0
Pulaski Street,31.0
Purdy Avenue,2.0
Purdy Street,6.0
Puritan Avenue,1.0
Purves Street,1.0
Putnam Avenue,70.0
Putnam Avenue West,4.0
Putnam Place,3.0
Quarry Road,5.0
Quay Street,1.0
Queen Street,1.0
Queens Boulevard,693.0
Queens Midtown Tunnel,2.0
Queens Midtown Tunnel Exit,6.0
Queens Plaza North,28.0
Queens Plaza South,70.0
Queens Street,1.0
Queensboro Bridge,17.0
Queensboro Bridge Lower,7.0
Queensboro Bridge Lower Roadway,5.0
Queensboro Bridge Upper,6.0
Queensboro Bridge Upper Roadway,6.0
Quencer Road,4.0
Quentin Road,73.0
Quince Avenue,3.0
Quincy Avenue,11.0
Quincy Street,28.0
Quinn Street,4.0
Quintard Street,2.0
R 10 Street,1.0
Racal Court,3.0
Radcliff Avenue,10.0
Radnor Road,1.0
Radnor Street,1.0
Rae Avenue,3.0
Railroad Avenue,3.0
Raleigh Place,3.0
Ralph Avenue,336.0
Ramona Avenue,1.0
Randall Avenue,94.0
Randolph Street,2.0
Rapelye Street,1.0
Raritan Avenue,1.0
Rathbun Avenue,3.0
Raymond Place,1.0
Reade Street,11.0
Reads Lane,1.0
Rector Place,8.0
Rector Street,1.0
Redfern Avenue,13.0
Redwood Avenue,1.0
Reed Street,2.0
Reeder Street,1.0
Reeds Mill Lane,8.0
Reeve Place,1.0
Reeves Avenue,6.0
Regal Walk,1.0
Regent Place,6.0
Regina Avenue,4.0
Regis Drive,10.0
Reid Avenue,77.0
Remington Street,17.0
Remsen Avenue,272.0
Remsen Place,3.0
Remsen Street,7.0
Rene Court,1.0
Renwick Avenue,1.0
Renwick Street,1.0
Reon Avenue,4.0
Reservoir Avenue,36.0
Reservoir Oval East,2.0
Reservoir Oval West,2.0
Retford Avenue,1.0
Revere Avenue,8.0
Revere Place,2.0
Review Avenue,26.0
Review Place,1.0
Rewe Street,3.0
Reynolds Avenue,1.0
Rhinelander Avenue,27.0
Richards Street,5.0
Richardson Avenue,5.0
Richardson Street,12.0
Richland Avenue,1.0
Richmond Avenue,314.0
Richmond Hill Road,43.0
Richmond Road,162.0
Richmond Street,3.0
Richmond Terrace,148.0
Richmond Valley Road,4.0
Rider Avenue,6.0
Ridge Boulevard,32.0
Ridge Street,9.0
Ridgecrest Avenue,1.0
Ridgewood Avenue,75.0
Ridgewood Place,2.0
Riedel Avenue,1.0
Rio Drive,1.0
Ritter Place,1.0
River Avenue,83.0
River Road,1.0
River Street,1.0
Riverdale Avenue,130.0
Riverside Boulevard,6.0
Riverside Drive,197.0
Riverside Drive West,1.0
Riverton Street,1.0
Rivington Avenue,6.0
Rivington Street,15.0
Robert F Wagner Place,6.0
Roberts Avenue,5.0
Robertson Place,3.0
Robin Lane,1.0
Robinson Street,11.0
Rochambeau Avenue,8.0
Rochester Avenue,91.0
Rockaway Avenue,299.0
Rockaway Beach Boulevard,156.0
Rockaway Boulevard,465.0
Rockaway Freeway,45.0
Rockaway Parkway,380.0
Rockaway Point Boulevard,10.0
Rockefeller Plaza,1.0
Rockland Avenue,28.0
Rockwell Place,3.0
Rockwood Street,2.0
Rocky Hill Road,7.0
Rodman Place,1.0
Rodney Street,15.0
Roebling Street,38.0
Roff Street,2.0
Rogers Avenue,245.0
Rogers Place,4.0
Roma Avenue,4.0
Rombouts Avenue,11.0
Rome Drive,1.0
Roosevelt Avenue,348.0
Roosevelt Drive,1.0
Roosevelt Place,1.0
Ropes Avenue,7.0
Rose Avenue,5.0
Rose Street,1.0
Rosebank Place,2.0
Rosedale Avenue,49.0
Rosewood Place,2.0
Ross Avenue,3.0
Ross Street,12.0
Rossville Avenue,7.0
Roswell Avenue,1.0
Rowland Street,3.0
Royce Place,3.0
Ruby Street,1.0
Rugby Road,10.0
Rumson Road,1.0
Rupert Avenue,1.0
Ruppert Place,1.0
Ruscoe Street,1.0
Russek Drive,1.0
Russell Street,9.0
Rust Street,10.0
Rutgers Slip,3.0
Rutgers Street,2.0
Rutherford Place,1.0
Rutland Road,67.0
Rutledge Avenue,1.0
Rutledge Street,10.0
Ryan Court,1.0
Ryawa Avenue,1.0
Ryder Avenue,1.0
Ryder Street,1.0
Ryer Avenue,29.0
Ryerson Street,1.0
Sable Avenue,2.0
Sacket Avenue,1.0
Sackett Street,17.0
Sackman Street,18.0
Sagamore Avenue,1.0
Sage Street,1.0
Saint Albans Place,1.0
Saint Anns Avenue,104.0
Saint Clair Place,10.0
Saint Edwards Street,14.0
Saint Felix Avenue,1.0
Saint Felix Street,2.0
Saint Francis Place,1.0
Saint James Place,23.0
Saint John Avenue,2.0
Saint Johns Avenue,4.0
Saint Johns Place,167.0
Saint Jude Place,2.0
Saint Lawrence Avenue,22.0
Saint Lukes Place,1.0
Saint Marks Avenue,72.0
Saint Marks Place,36.0
Saint Marys Avenue,4.0
Saint Marys Street,9.0
Saint Nicholas,7.0
Saint Nicholas Avenue,314.0
Saint Nicholas Place,8.0
Saint Nicholas Terrace,11.0
Saint Ouen Street,1.0
Saint Paul Avenue,2.0
Saint Pauls Avenue,9.0
Saint Pauls Court,2.0
Saint Pauls Place,5.0
Saint Peters Avenue,2.0
Saint Raymond Avenue,9.0
Saint Theresa Avenue,4.0
Sampson Avenue,7.0
Sand Lane,21.0
Sandford Street,2.0
Sands Place,1.0
Sands Street,28.0
Sanford Avenue,61.0
Saratoga Avenue,122.0
Saull Street,5.0
Saultell Avenue,11.0
Saunders Street,11.0
Sayres Avenue,20.0
Schaefer Street,15.0
Schenck Avenue,39.0
Schenck Court,1.0
Schenck Street,6.0
Schenectady Avenue,161.0
Schermerhorn Street,34.0
Schley Avenue,11.0
Schmidts Lane,1.0
Schofield Street,1.0
Scholes Street,45.0
School Road,7.0
Schroeders Avenue,10.0
Schurz Avenue,6.0
Schuyler Street,3.0
Scott Avenue,8.0
Scribner Avenue,3.0
Sea Breeze Avenue,4.0
Seabring Street,1.0
Seabury Avenue,4.0
Seabury Place,2.0
Seabury Street,5.0
Seagirt Avenue,6.0
Seagirt Boulevard,94.0
Seaman Avenue,17.0
Seaver Avenue,3.0
Seaview Avenue,97.0
Secor Avenue,5.0
Seddon Street,1.0
Sedgwick Avenue,152.0
Sedgwick Place,2.0
Seeley Street,5.0
Seguine Avenue,5.0
Seguine Loop,1.0
Seguine Place,1.0
Seigel Street,9.0
Selfridge Street,3.0
Selover Road,2.0
Selwyn Avenue,11.0
Senator Street,8.0
Seneca Avenue,52.0
Seneca Street,1.0
Seton Avenue,3.0
Seton Place,1.0
Seward Avenue,40.0
Sexton Place,4.0
Seymour Avenue,15.0
Shad Creek Road,1.0
Shakespeare Avenue,28.0
Shale Street,1.0
Shaler Avenue,1.0
Sharpe Avenue,7.0
Sharrott Avenue,8.0
Sharrotts Road,3.0
Sheepshead Bay Road,35.0
Sheffield Avenue,28.0
Sheldon Avenue,2.0
Shell Road,23.0
Shepherd Avenue,25.0
Sheraden Avenue,4.0
Sheridan Avenue,67.0
Sheridan Expressway,59.0
Sherman Avenue,70.0
Sherman Street,1.0
Shiloh Avenue,1.0
Shiloh Street,1.0
Shirra Avenue,1.0
Shore Avenue,5.0
Shore Boulevard,39.0
Shore Drive,1.0
Shore Front Parkway,33.0
Shore Parkway,123.0
Shore Road,20.0
Shore Road Drive,13.0
Sidway Place,1.0
Signs Road,11.0
Silver Road,1.0
